,date,location,text
0,2023-11-10T05:20:04.000Z,을지로 3가,.을지로의 상징이 되어버린 올디스😁⠀네온사인이 참 이쁘다
1,2023-11-07T12:29:08.000Z,을지로 3가,"일본식 중화요리를 선보이는 을지로 신상 맛집 -각양각색의 맛집들이 모여 있는을지로 골목에 새로 문을 연 ‘지유켄’ 일본 중화요리 집에 들린 것 같은 기분의 음식들을 선보이는 곳이에요. 고슬고슬한 계란 볶음밥부터 새우완탕면을 라멘처럼 해석한 완탕멘, 탄탄멘 야끼소바, 카라아게,김이 덮여 나와 궁금증을 유발하는 시그니처 라멘인 ‘중화소바’ 등 든든한 식사, 술 한잔에 곁들일 안주로도 괜찮은 요리들을 만나볼 수 있어요.일반 테이블부터 편안한 좌식 자리,바 좌석까지 모두 준비돼 있어혼자서도 여럿이서도 가보기에 좋은 곳! -ㅤ🏷 이름 : #지유켄 📍위치: 서울 중구 수표로 42-7 1층⏱운영시간• 점심 11:00 - 15:00• 저녁 17:00 - 21:00*일요일 휴무🍴 메뉴• 중화소바 10,900원 🔎참고하기• 주차는 주변 공영주차장 이용"
2,2023-12-25T09:13:20.000Z,을지로 3가,🎄......#스냅사진 #스냅모델
3,2023-12-23T15:51:57.000Z,을지로 3가,블랜딩밀크가 들어가 고소하고 부드러운 라떼 맛집☕️을지로 인쇄골목 사이에 위치한 #푸쉬커피을지 평일에도 만석일정도로 매우 핫한곳🔥아주 진한 초코맛을 느낄수 있을 것 같은 시그니처메뉴인#을지웡카 는 다음 방문때 먹어봐야겠다😎✔️푸쉬라떼 : 블랜딩밀크가 들어가 일반라떼보다 훨씬 부드럽고 고소해서 꿀떡꿀떡 순삭🥲 음료량이 많은 편이 아니라 1인2잔도 추천👍✔️클래식쿠키 : 꾸덕한 르뱅쿠키가 많은 요즘 오히려 찾기 힘든 바삭한 초코칩 쿠키. 푸쉬라떼랑 조합이 매우 좋음♥️#푸쉬커피을지 #을지로카페 #을지로 #쿠키
4,2023-11-09T02:56:31.000Z,을지로 3가,손에서 컵을 못 놓겠네..☕️...이번에 착용한 데님은 학교 동아리에서 스프레이로 디자인했는데 어떤가요?
5,2023-12-12T10:49:18.000Z,을지로 3가,메종미네드는 역시 바지맛집 ..🥰
6,2023-12-16T10:47:03.000Z,을지로 3가,너무 추워서 목도리를 머리에 써버렸어요-
7,2023-11-22T01:49:37.000Z,을지로 3가,"을지로 신상 일본식 중화요리 전문점 20231121 을지로3가 지유켄 골뱅이골목 안쪽 이자카야 콘부 앞에 오픈한일본식 중식 전문점 지유켄입니다 일본 드라마나 영화에서 많이 봤던마치 현지에 있는 듯한 분위기의 공간에서중화소바, 마파두부, 야끼교자, 챠항, 탄탄멘 등다양한 일본식 중식을 드실 수 있어요 저녁에는 야끼소바나 완탕, 가라아게의 메뉴들을나마비루, 하이볼 등과 편하게 즐기실 수도 있구요 또한 금샤빠, 콘부, 연하동, 카라멘야 등여러 외식업체들을 운영중인 외식인이자 인플루언서인@bitterpan_i 비터팬님의 업장이니평소에 관심있는 분들은 꼭 한 번 찾아가보세요 #중구재영 #중구맛집#을지로3가재영 #을지로3가맛집#이자카야재영 #일본식중식#중식재영 #중식맛집 #일본식중화요리#지유켄재영 #지유켄 #을지로지유켄#을지로재영 #을지로맛집#종로재영 #종로맛집"
8,2023-12-18T12:41:22.000Z,을지로 3가,"들어서면 후루룩 소리만 들린다.손님 모두가 짠듯 고개숙여 면치기한다,,쉴새없이 먹고 또 먹고 온 을지로 #대련집길 지나다 이집보이면 아묻따 들어가세요.두툼한 보쌈이 완전 춱춱 야들한게 미쳐뜜알배추에 두점씩 올려 싸먹는게 뽀인튜다,,궁물도 엄청 녹진하니 찐해서 들구 흡입함.매장 : 대련집위치 : 서울 종로구 종로16길 37 1층가격 : 생배추보쌈(18,000) 칼국수(8,000)#종로맛집 #을지로맛집 #을지로술집 #종로술집 #광화문맛집 #준맛탱_종로"
9,2023-12-16T13:23:02.000Z,을지로 3가,빵빵해보이는건 다 디카때문이라고. 그렇게 믿기로 했다.
