,date,location,text
0,2023-12-26T03:11:24.000Z,Itaewon,ลูกสาว
1,2023-12-31T01:22:08.000Z,Itaewon,연말 감기 조심여
2,2023-12-26T08:58:33.000Z,Itaewon,
3,2023-12-31T11:24:25.000Z,Itaewon,이태원 어둠의 자식들➿
4,2023-12-27T08:10:37.000Z,Itaewon,라이너에 더플코트까지 입으면 을매나 따뜻하게요?
5,2024-01-02T14:07:07.000Z,Itaewon,먹었으면 해야돼 운동. 복근뿌셔 뱃살공주야
6,2023-12-29T08:33:53.000Z,Itaewon,.금요팅팅🔥📷 @naivestudio_seoul @jo_du_myeong 💄 @kowon_beauty
7,2023-12-29T03:28:07.000Z,Itaewon,금요팅 〰️❤️‍🔥하루하루 성장하는 것 같아서 좋은 요즘이다 휘휘
8,2023-12-31T09:29:13.000Z,Itaewon,
9,2023-12-30T01:14:40.000Z,Itaewon,연말이다아😎
10,2023-12-31T13:48:26.000Z,Itaewon,이태원에서 우아 떨기 호호..
11,2023-12-31T12:37:15.000Z,Itaewon,새해 출격 전이라빨간 머플러를 둘러봤습니다🧣
12,2024-01-04T04:36:47.000Z,Itaewon,#후기사진 레드가 찰떡인 @lees_y 🫰🏻항상 이쁜 후기 남겨주셔서 눈이 호강해유😗-문의 및 예약 010 8379 6671 카톡 : hairshopkiki 네이버예약 👉🏿 kiki키키
13,2024-01-04T04:17:14.000Z,Itaewon,"Yoichi Grande 48% 700mlMiyagikyo Grande 48% 700ml-요이치 그란데는 피트와 우디 향을 강화하기 위해 제작되었으며(기본적으로 피트 몰트의 비율을 높임), 미야기쿄 그란데는 기분 좋은 셰리 향과 우디 향을 강화하기 위해(셰리 몰트를 더 많이 사용하여) 제작되었다고 밝혔습니다. 즉, 좋은 것들이 더 많이 있다는 뜻입니다. -cue The Hokey Poke-"
14,2024-01-04T04:00:40.000Z,Itaewon,2024년에도 함께해요 ! 🫂
15,2024-01-04T03:26:07.000Z,Itaewon,
16,2024-01-04T02:00:29.000Z,Itaewon,니들~~
17,2024-01-04T01:12:49.000Z,Itaewon,首尔，街道，咖啡
18,2024-01-04T00:34:13.000Z,Itaewon,"7일 만에 바뀐 변화 😮전체적인 순환의 청소!쌓아둔 독소들, 노폐물들의 청소!원팩이란? ◡̎ ෆ📍L아르기닌 하루 20,000mg 섭취기적의분자라고 불리는 성분이죠. 혈관탄력,다이어트 효과까지.운동하는 분들,자기관리하는 분들에게 끝판왕!!📍베타글루칸면역체계를 단단하게 만들고우리 몸의 바이러스,균 등에 맞설 든든한군대세포를 만들어주는 역할!! 면역이 단단해야 몸에 있는 노폐물이 잘 배출되는 몸이 되는 것.📍베타인비트에 들어있어요! ABC쥬스가 유명해진 것도B = 비트에 역할이 중요합니다 , 염증 노폐물 배출에 탁월해요!비트 순수 38% + 양배추 강황 브로콜리 블루베리 등등 10가지 성분이 추가 배합이 모든게 합쳐진 원팩♥️원팩은 , 후기데이터만 해도 전세계적으로후기가 쏟아지는 중!새해에는 원팩으로 시작해봐요!(개인차가있을수있어요)✉️ 문의@sa_ni_83 프로필링크 ᰔᩚ"
19,2024-01-04T00:22:33.000Z,Itaewon,이제 치킨 먹기힘들겠네....#선팔하면맞팔 #맞팔해요 #맞팔 #맞팔환영 #좋테 #좋튀 #좋아요꾹꾹 #좋아요그램 #좋반 #좋아요 #좋아요반사 #쨈톡 #서울역 #숙대입구 #여의도 #일산 #구로 #연예 #연예인 #유머집합소 #유머짤 #꼭꼭쨈 #유머페이지 #유머갤러리 #유머 #치킨 #클레임 #단골 #사장님 #장인
20,2024-01-04T00:06:12.000Z,Itaewon,"Especial 탄밤 🥹O bar que serviu de fachada para o kdrama Itaewon Class. Quem não viu, assista. Um bruto de doramão 😍Ps: Park São João cadê vc???..#itaewonclass #kdrama #dorama #southkorea #korea #seoul"
21,2024-01-03T23:18:27.000Z,Itaewon,
22,2024-01-03T22:39:10.000Z,Itaewon,"#빈티지카페트.<문의>02-797-9961/ 010-6316-9961< 운영시간>월~토: 9:30 ~ 18:30 / 일요일 휴무<찾아오시는 길>서울 용산구 장문로 27, 3층(구, 메종)———————————————————————#이태원#포토벨로#이태원포토벨로#이태원가구거리#인더스트리얼전문"
23,2024-01-03T22:38:04.000Z,Itaewon,"#북케이스.<문의>02-797-9961/ 010-6316-9961< 운영시간>월~토: 9:30 ~ 18:30 / 일요일 휴무<찾아오시는 길>서울 용산구 장문로 27, 3층(구, 메종)———————————————————————#이태원#포토벨로#이태원포토벨로#이태원가구거리#인더스트리얼전문"
24,2024-01-03T22:33:05.000Z,Itaewon,"#빈티지조명.<문의>02-797-9961/ 010-6316-9961< 운영시간>월~토: 9:30 ~ 18:30 / 일요일 휴무<찾아오시는 길>서울 용산구 장문로 27, 3층(구, 메종)———————————————————————#이태원#포토벨로#이태원포토벨로#이태원가구거리#인더스트리얼전문"
25,2024-01-03T19:37:06.000Z,Itaewon,
26,2024-01-03T18:52:27.000Z,Itaewon,
27,2024-01-03T17:06:04.000Z,Itaewon,21!
28,2024-01-03T15:57:10.000Z,Itaewon,"Vintage 핏개이뿐 어그 245/ 250 ⠀🌱price 6.5‼️사이즈좋고~ 신었을때 몽실몽실하니 핏이 넘이쁘던데용? 근데 사실 얘네 미국에서 가져올때 좀 싸게 가져와서 그만큼 싸게 올링게요 후훗사이즈 각각 7.5,8 총 두켤레 들어왔어요 근데 얘네 너무이뻐서 사이즈 남으면 하나 제가신을것임 전 짧은어그보다 롱어그가 조아요* 모든 문의 캡쳐 후 디엠 주세용 🌟"
29,2024-01-03T15:20:28.000Z,Itaewon,Vintage 255- 260⠀🌱price 10.0‼️* 모든 문의 캡쳐 후 디엠 주세용 🌟
30,2024-01-03T15:09:02.000Z,Itaewon,이태원. #이태원 #이태원카페 #피자 #데이트 #포토그레이 #커플샷
31,2024-01-03T15:08:25.000Z,Itaewon,Vintage 260⠀🌱price 9.0‼️* 모든 문의 캡쳐 후 디엠 주세용 🌟
32,2024-01-03T14:50:24.000Z,Itaewon,Vintage 아메리칸이글 260⠀🌱price 5.5
33,2024-01-03T14:35:28.000Z,Itaewon,
34,2024-01-03T14:17:44.000Z,Itaewon,부다스벨리
35,2024-01-03T12:55:02.000Z,Itaewon,👉🏻Seoul🇰🇷梨泰院クラスのロケ地！タンバムに行ってきた〜🫰🏻ドラマで観てたのと同じで感動🥹壁にドラマが映し出されて観ながら飲みながら浸りながらのご飯は最高だったなぁ〜。ご飯も美味しくて満足満足💓ドラマでソジュンが走ってた橋にも行って梨泰院クラスごっこの始まり始まり笑ソウルタワーも見えて綺麗でした♪
36,2024-01-03T12:48:34.000Z,Itaewon,"저는 현재 한국에 없기 때문에 대단한 DJ ⭐️ 사랑하는 친구 💗 @neekoal 일명 NK BADTZ MARU 저를 대신에 @visla.fm 에서 틀 거예요!ASHIDASHIPI SPECIAL EDITION with NK BADTZ MARU live on VISLA.FM 내일 1월4일 오후4시 🇰🇷 (2am 🇺🇸, 08:00 🇮🇹)많관부! 잘 부탁드립니다~! 🫡"
37,2024-01-03T11:57:30.000Z,Itaewon,깃털모양의 표범🪶..#라인타투 #미니타투 #쇄골타투 #여자타투
38,2024-01-03T11:48:47.000Z,Itaewon,"1.5(FRI) @argaseoul the Moonshinersw/ Muyeol, Gumi, Givogi, Cityboy from Seoul, ill.ahn📀Time Table📀11:00 Muyeol @muyeol_l 12:10 Gumi @guuumiii_ 1:20 Cityboy from Seoul @cityboyfromseoul 2:30 Givogi @gi.vo.gi 3:40 ill.ahn @ill.ahn Start: 23:00Artwork by @knarftsitra🎫 Admission 10,000KRW(1free Drink)🌞Itaewon’s one & only electronic music space covering House / Disco / Balearic / Indie Dance 이태원 유일의 하우스/디스코/발레아릭/인디댄스를 아우르는 전자 음악 공간🌙 Where you are between the moon and the sun. Enjoy the beautiful moments of sunrise with good music. 달과 해 사이에 당신이 있는 곳에. 해가 뜨는 아름다운 순간을 좋은 음악과 함께하세요.- NO MINORS ALLOWED **Please bring your ID card- 11PM - SUNRISE-4F, Itaewon-ro 173-7, Yongsan-gu Seoul, Korea#argaseoul #songofsongs#moon#sun"
39,2024-01-03T11:24:13.000Z,Itaewon,"-New Arrival Today ! 🇺🇸Old Carhartt Active Jacket 90’s Liberty Tree Camo Pants90’s Woolrich Down Vest 90’s Five Brother Moleskin Shirts Old Carhartt Heavy Canvas Pants Old Adidas Sweatshirts 70’s Club Crest Nylon Jacket 90’s Woolrich Reversible Vest Old Dickies Twill Pants (30,34)-#앳더프론트 #아메리칸캐주얼 #이태원빈티지 #이태원빈티지샵 #트리카모"
40,2024-01-03T11:03:02.000Z,,Or maybe it’s same same but different 😂
41,2024-01-03T11:00:45.000Z,,"📣릴스 노출이 잘 되고 싶으면 주목!!✔️영상은 10초 이내로 짧게! 너무 길면 사람들의 관심이 떨어질 수 있어요~짧은 영상에 압축해서 넣어 넣어!✔️ 사람들의 워너비가 되자내 주제의 사람들에게 워너비가 된 모습을 보여주자. 돈 번 경험, 성공한 경험 , 질병을 극복한 경험 등등 ✔️ 공감하는 내용을 적어보자많은 사람들이 공감하는 내용을 적으면 저장,공유가 늘어날 꺼예요~♡"
42,2024-01-03T10:59:18.000Z,Itaewon,⠀재입고 | 온라인 발매 🚨칩스에 입고 될때마다 품절이 지속적으로 되었던 777 (by IMPD x Chips) 캡이 드디어 재입고 되었습니다.⠀재입고와 동시에 온라인으로도 한정적으로 판매될 예정이니 많은 관심 부탁드립니다. 🙇🏻‍♂️🫡🌴(온라인 구매처는 프로필 링크)⠀#syd 캠페인 : 본 상품 판매 수익의 일부는 사랑밭에 후원되어 아프리카 절단 아동에게 의족늘 제공하는 데 사용될 예정입니다.❤️ @impd_nc ⠀-⠀⠀서울시 용산구 이태원동 225-12칩스 이태원 영업시간수 ~ 토 1pm - 9pm일 12pm - 8pm⠀언제나 칩스를 사랑해주시고 굿즈 구매해주시는 모든분들께 감사의 말씀드립니다. 🙏🙏⠀⠀⠀Chips~!!!💚❤️💙⠀Chips Only!⠀photo by @chinguondamoon⠀#stackhouse #chipsitaewon #sneakerhouse #스택하우스 #칩스이태원 #스니커하우스
43,2024-01-03T10:54:22.000Z,Itaewon,2️⃣ January (화) 2/2👁️👁️👁️👁️Snacks⁉️Doubly dominated 🤦🏻‍♀️🥱👀 Canoodle 🥰🙇🏻‍♀️🤗🍫🍋🍫Noggins 🧠🧠Harley head + body of Eve 😳🐶 #goldenretriever #koreanvillagedog #labrador #chocolatelab #mixedbreed #poodle #brittanypoodle #labradoodle #rescuedog #ridgeback ℹ️ #k9 #강아지 #dogpack #packwalk #산책 #doggydaycare #애견유치원 #dogoftheday #dogsofseoul #dogsofkorea #도그스타그램 📍#경리단길 #이태원 #용산 #서울 #korea 🇰🇷
44,2024-01-03T10:49:39.000Z,Itaewon,2️⃣ January (화) 1/2Mobi 🥪Gamja 😜 Nugget 😲 Guru girl 🖤Ollie 👅 Triple 😒 Harley 😍Here comes the big boy 🫡 🤔 🤷🏻‍♀️ 🐶 #goldenretriever #koreanvillagedog #labrador #chocolatelab #mixedbreed #poodle #brittanypoodle #labradoodle #rescuedog #ridgeback ℹ️ #k9 #강아지 #dogpack #packwalk #산책 #doggydaycare #애견유치원 #dogoftheday #dogsofseoul #dogsofkorea #도그스타그램 📍#경리단길 #이태원 #용산 #서울 #korea 🇰🇷
45,2024-01-03T10:42:07.000Z,Itaewon,⏳…
46,2024-01-03T10:34:52.000Z,Itaewon,bAd at Party
47,2024-01-03T10:05:58.000Z,Itaewon,🥃Glendronach 15Y 현행 46% 700mlGlendronach 21Y 현행 48% 700ml
48,2024-01-03T10:04:20.000Z,Itaewon,⠀Chips #101새해 복 많이 받으세요!!!2021년 칩스는 감사했고2022년 칩스는 행복했고2023년은 다시 한번 감사했습니다!2024년 여러분들과 함께 다시 행복한 한해 만들어보겠습니다!!!!⠀칩스에서는 무슨일이 일어나는지 한눈에 볼수 있는 칩스쇼는 스택하우스 유튜브 채널에서 확인해주세요 ▶️⠀-⠀⠀서울시 용산구 이태원동 225-12칩스 이태원 영업시간수 ~ 토 1pm - 9pm일 12pm - 8pm⠀언제나 칩스를 사랑해주시고 굿즈 구매해주시는 모든분들께 감사의 말씀드립니다. 🙏🙏⠀⠀⠀Chips~!!!💚❤️💙⠀Chips Only!⠀photo by @chinguondamoon⠀#stackhouse #chipsitaewon #sneakerhouse #스택하우스 #칩스이태원 #스니커하우스
49,2024-01-03T09:56:04.000Z,Itaewon,저도 무한재석교에~~!!....#선팔하면맞팔 #맞팔해요 #맞팔 #맞팔환영 #좋테 #좋튀 #좋아요꾹꾹 #좋아요그램 #좋반 #좋아요 #좋아요반사 #쨈톡 #서울역 #숙대입구 #여의도 #일산 #구로 #연예 #연예인 #유머집합소 #유머짤 #꼭꼭쨈 #유머페이지 #유머갤러리 #유머 #데프콘 #유재석 #핑계고 #ㅋㅋㅋ #예능
50,2024-01-03T09:54:05.000Z,Itaewon,New Style Tattoo...#tattooideas #drawingtattoo #finearttattoo #koreatattoo #itaewontattoo #itaewon #이태원타투
51,2024-01-03T09:48:50.000Z,Itaewon,팔꿈치에 들어간 타투 자료들 찾다보니 다 비슷해서 다른 느낌으로 디자인 ✨....#낙서타투 #doodletattoo #팔꿈치타투 #elbowtattoo #startattoo #별타투 #서울타투샵 #이태원타투
52,2024-01-03T09:48:08.000Z,Itaewon,2024‼️
